No.	Site Name	System	Distance	Series	Set	Text
0688	Federal Military Expansion	HIP 17225		Series 3	Elite History	On July 28th 3302 the Federation ignited controversy with its decision to establish a series of outposts in the Pleiades sector. The development triggered a decisive response from Empire-aligned pilots, who made repeated attempts to destabilise the campaign. Ultimately, the Federation was able to complete the operation, but the Federation’s opponents had made their feelings clear - the superpower’s military expansion would not proceed unopposed.
0689	A Majestic Development	Carthage	105 ls	Series 3	Elite History	"On July 21st 3302 Lavigny's Legion, an Imperial organization based in the Carthage system, launched a campaign to add three new Majestic-class interdictors to the Imperial fleet. / At a press conference, Lucius Lavigny confirmed that the Emperor had personally authorized the campaign. According to Lavigny, the initiative is a direct response to the Federation's ""ongoing military build-up"". The admiral closed the conference with the words: ""We must continue to strengthen our fleet and reinforce our garrisons."""
0690	The Reclamation of Facece	Facece		Series 3	Elite History	"On July 2nd 3302, and after months of vicious fighting, the Imperial Naval Auxiliary reinstated the Facece Empire Party as the controlling power of the Facece system. / Marquis Endincite, who coordinated the effort to reclaim the system, made the following statement to the Imperial Herald: / ""The Empire Party has regained the administration of Facece, and we beseech Imperial commanders everywhere to ensure its continued dominance in the system. Never again should the Empire allow its pre-eminent naval base to fall under the sway of disloyal elements."""
0691	Memorial to the Highliner Antares Unveiled	Luyten 205-128	76 ls	Series 3	Elite History	On July 1st 3302 the Sirius Corporation unveiled a memorial to those who lost their lives aboard the Highliner Antares, which was destroyed in 3251 during its maiden voyage. Using debris retrieved from the ship, capricious talent Delvin Hoorgan has created a striking tribute to the souls lost on the ships inaugural flight. / The memorial depicts a stylised version of the Highliner Antares, and has been constructed using light-bending meta-materials that allow light to pass through the interior of the ship as it rotates. As the sculpture moves, the intensity of the light increases, reaching a crescendo of brilliance before subsiding. / Delvin Hoorgan waived his usual commission to participate in the project. When he unveiled the memorial, he stated he was proud to have been involved in remembering the event.
0692	Project Endurance	Dijkstra	276 ls	Series 3	Elite History	On the 10th of February 3301, two Faulcon DeLacy Cobras launched from Allen Platform in the Dijkstra system. Piloted by Commander Dr. Simms and Commander Sid Solo, the ships were fitted for an endurance attempt unlike any other.
0693	The Crab Nebula Expedition	Epsilon Indi	261 ls	Series 3	Elite History	On June 17th 3302 a fleet of over 4,000 survey and support vessels departed from Mitterand Hollow in Epsilon Indi. The Crab Nebula Expedition was the largest coordinated flight of explorers since the Distant Worlds Expedition. It attracted a wide range of pilots, from veterans to beginners taking their first trip outside the bubble.
0694	Canonn Institute Opens its Doors	Col 285 Sector IX-T D3-43		Series 3	Elite History	"On June 3rd 3302 humanity's newest and most advanced Unknown Artefact research centre, the Canonn institute in Col 285 Sector IX-T d3-43, finally opened. / Dr. Arcanonn, under heavy guard, was the first to arrive at the opening ceremony, and he had this to say: / ""It is an amazing feeling to stand before you after being in hiding for so long. After more than a year of work, the Canonn had become one of the most open, diligent and dedicated science organizations in inhabited space, and now we have an amazing research centre."""
0695	Alliance Outpost Established	HIP 19072		Series 3	Elite History	"On May 26th 3302 Alliance Prime Minister Edmund Mahon announced that the new outpost was complete. In a statement, Mahon said: / ""It gives me great pleasure to announce the formal opening of the Cooper Research Centre. In addition to functioning as a base for scientific research, the station will bolster the Alliance‘s reconnaissance and intelligence-gathering capabilities in a strategically valuable region of space."" / An Alliance spokesman confirmed that the new outpost would offer reload, repair and refuel services to pilots operating in the HIP 19072 system."
0696	Treasure Hunt Comes to an End	Algol		Series 3	Elite History	On March 29th 3302 the treasure hunt organized by billionaire philanthropist Alfred Jeffress has come to an end, with a pilot by the name of Commander Oriza claiming victory. Thousands of people took part in the competition, but ultimately there could only be one victor. / As with Jeffress's previous treasure hunts, competitors were required to solve a series of riddles to find the mystery object at the centre of the search - a relic from Earth’s past. The clues took pilots to Persephone in the Avalon system, then to Arrhenius Terminal in bard and finally to the Algol system.
0697	Bluford Orbital Completed	LHS 3447		Series 3	Elite History	"On March 10th 3302 LHS 3447 Dynamic and Co. announced that the campaign to construct a new starport in the LHS 3447 system has reached a successful conclusion. All the necessary materials for the starport have now been received, and the agitators disrupting delivery operations have been neutralized. A spokesperson for the Pilots Federation, which helped to organise the campaign, released a brief statement: / ""Once again the galaxy's independent pilots have demonstrated their remarkable commitment and resolve. This new starport will facilitate travel and trade throughout LHS 3447, and serve as a testament to the dedication and altruism of the galactic community."""
0698	Former Federal President Found	Azaleach	19,137 ls	Series 3	Elite History	"On February 26th 3302 Federal President Zachary Hudson made a surprising announcement: one of the escape pods taken to Leoniceno Orbital contains former Federal President Jasmina Halsey. / ""When we started searching for the remains of Starship One it was with the aim of discovering what happened to the ship. I never imagined we would find survivors, and certainly not that one of them would be Jasmina Halsey."""
0699	Denton Patreus Receives Promotion	Achenar		Series 3	Elite History	"On February 22nd 3302 Emperor Arissa Lavigny-Duval announced that Senator Denton Patreus' promotion to Admiral of the Fleet following his triumph over the insurgent organisation Emperor's Dawn. In a statement, the Emperor praised Patreus' recent military success: / ""Denton Patreus exhibited remarkable resolve in the campaign against Emperor's Dawn, and demonstrated his ability to act with conviction in the face of an often unpredictable enemy. I can think of no more appropriate person to assume command of the Imperial Navy. It is with great pride that I confer upon him the title of Admiral of the Fleet."""
0700	The Big Split	LP 339-7		Series 3	Elite History	Starship Enterprises worked closely with the Blue Creative for most of the corporations early life and the two companies enjoyed many successful ventures together, like SE mining, a very successful deep space mining company. Eventually is looked as if starship enterprises and Blue Creative would merger to compete against some of the bigger and more established neighbouring corporations. However, in a surprise twist of events, negotiations were broken off during one of the final meetings and the CEO of SE Corp, Dr. Lewis Chapman was seen storming from the conference room. Dr. Chapman seen released a statement in a press conference saying that his corporation would split from Blue Creative and strike out as an independent corporate entity. So began Starship Enterprises long Struggle to become the principle company in LP 339-7.
0701	Whitson's About Face	LP 339-7		Series 3	Elite History	Whitson Orbital was once owned by the Independent Values Party, a political group within 339. After the Split between SE and Blue Creative, the IVP put up a lot of political pressure to try and halt the progress of Dr. Chapman's Corporation. They did this because of their opposing views on black market trading in 339. Dr. Chapman had in the past accused the IVP of 'under the table transactions with disreputable parties' and demanded that they close the black markets in their stations. Dr. Chapman however is an accomplished diplomat and spokes person and he did not take the IVPs pressure lying down. The media helped to inflame events all the more and eventually hostilities broke out between SE and IVP, spiralling finally into full blown civil war. These were dark times for LP 339-7 but SE corp threw the full weight of their corporation against the declining IVP party and won the war, taking control of Whitson Orbital in the process. Over the course of the next few months Starship Enterprises turned Whitson Orbital around, making it the principal trading post in the system. Dr. Chapman overhauled two subsidiary companies to incorporate into Whitsons infrastructure: the Terran Wild-life Project which clones species of Earth animals, and Galaxy Tours, Starship Enterprises sightseeing company.
0702	A Vote for Lewis Chapman...	LP 339-7		Series 3	Elite History	It took just over a year for Starship Enterprises to rise up and become the most powerful corporation in LP 339-7. It was a long and difficult journey. But during this time SE Corp had instigated several successful ventures that benefited the system. The Galaxy Tours sightseeing company was bringing in droves of new tourists into 339 while SE Corps private security sector was working hard to quell the vital trading lanes. Whitson had begun a humanitarian aid program to help supply local factions experiencing famine. It was ventures like these that eventually won the hearts and minds of the people of 339 and so when Dr. Chapman announced his desire to run in the local elections, it attracted unprecedented media coverage. A clever campaigning team aboard a requisitioned Beluga Liner set forth to get those votes into the SE ballot boxes and after four tiring days, Starship Enterprises took the system, and So-Yeon as their prize. Dr. Chapman quickly moved his agricultural trading framework over to So-Yeon so that it could take over the mantle of main trading post while Whitson orbital focused on science, exploration and tourism.
0703	Blue Planet	LP 339-7		Series 3	Elite History	Starship Enterprises and Blue Creative eventually buried the hatchet and started working together once again. A Blue Creative owned satellite nicknamed blue planet quickly became an important outpost for a number of reasons. A military outpost called Thirsk Survey became an important stop off point for SE security forces in their ongoing war against crime in the outer system. SE gunslinger pilots plied their trade in the local resource extraction sites, protecting entrepreneuring miners. Scott Beacon and its famous race track became the home of the SRV Race Club, entertaining locals with their wild and wacky races.
0704	Wild-life Parks.	LP 339-7		Series 3	Elite History	Dr. Lewis Chapman, CEO of Starship Enterprises, once took a small company of bio engineers under his corporations wing and then, he fell in love with their idea. This company was called the Terran Wild-Life Project. The small team had managed to get their hands on some genetic data, purchased from the Mother Gaia democratic party in Sol. The data was a genetic library of Earth species of animals. The teams idea was to clone the animals for release onto newly terraformed planets across the galaxy. The animals would be gene tailored to suit their new environments and selected so that they would fit in with the new ecosystems. Although the company still retains its original ethos, Dr. Chapman has overhauled them in a much bigger project. Not only do they provide the CEO with his own private supply of horses on his ranch on So-Yeon Planet, but they have also been working on large scale game reserves on Whitson Planet. These sprawling reserves are full of a variety of animals from Earths history, everything from birds of prey to humpback whales. The projects aim is to generate touirsm in Lp 339-7. So far the venture seems to be a raging success.
0706	Distant Stars Expedition 3303	Outotch SA-U D4-0		Series 3	Elite History	This system is famed as the jumping off point where many brave pilots of the Distant Stars Expedition 3303 made their final jump to HD 76133 system. / This expedition was a collaborative journey to reach and explore a previously unreachable region of space. These courageous souls knew that this would be a one way trip and yet did not hesitate to make the journey to discover what lay beyond this previously unreachable frontier. / We salute the pilots of the Distant Stars Expedition and those that supported them in their efforts.
0707	When Buckyballing Goes Badly Wrong	241 G. Aquarii		Series 3	Elite History	"This beacon marks the location where one of the most heroic moments in Buckyball Racing began. At 2:35 am on the 7th of May 3303, Commander Tannik Seldon had an unfortunate mistake that would lead the pilot going down in legend. / Tannik Seldon had signed up for a race known to many as the Buckyball. These races held all over the galaxy are known for punishing routes and questionable sanity of the racers. This particular event known as ""the Aquarium Job"" tasked pilots with racing between three locations using an unmodified Adder, and an SRV to complete the course. It was here at cooper Arena, looking for an edge on his competitors that the commander made what he initially thought was a superb tactical move. Remembering that ships completing the race with 1% hull received a time bonus, Seldon proceeded to lower his vessels hull to the required amount. However this would prove his undoing. Having completed his scan at the nearby settlement Seldon called his ship in for a landing and watched in stunned silence as his ship exploded as it touched down. No amount of duct tape was going to solve this problem. / Many pilots would have given up at that point, called for assistance of looked for the self destruct button. But not Tannik Seldon. / Technically he was still in the race. With a quick check of the race rules and remembering that there was a port on the other side of the planet. What followed goes down as the greatest moment to date in Buckyballing history. It was game on. / With just one week before the end of the race, Seldon accepted the challenge and set off on a mammoth 3000 km journey, which he describes as ""Slightly inconvenient by the face that (station) was on the exact opposite side of the planet"". / Seldon showed supreme levels of determination, concentration and near god like driving skills as he drove the colossal distance to what he hoped was his way off the planet. His route crossing mountains, canyons, and huge craters all while averaging speeds upward of 80 m/s with the knowledge that one unfortunate bounce or spin could spell disaster. / So it was until 2:50 PM on the 12th of May 3303 when Seldon announced to the many people following his progress two words, ""Mission Accomplished"". He had made it. Seldon did not want to bask in his achievement instead immediately buying a new regulation Adder and completing the race, making him the first Buckyballer to lose his ship halfway through a race and still finish successfully."
0708	Thomaski Point	Slaiyooe OX-L d7-0	828 ls	Series 4	Elite History	CMDR Thomaski was a rare kind of man. Thoughtful, kind, empathetic and ambitious extending even to making the trip to Beagle Point which he achieved i nthe year 3303... albeit with a few dings and bumps along the way! / He was an avid lover of exploration and photography among many other things, and spent his time traversing the galaxy with friends, putting the world to right wihle finding black holes, neutron stars, unexplored systems and everything else the cosmos could offer him. / He's now found his place among the stars and will be remembered by his family and wingmates for years to come, and we hope that upon finding this beacon you will be inspired to achieve your goals and reach for the stars, just like CMDR Thomaski would have wanted. / o7, Commander. We'll see you in the black.
0709	The Great Annihilator	Great Annihilator		Series 4	Elite History	This is the largest known black hole in the galaxy (not including the supermassive Sagittarius A* at the core).
0710	Community Bar	HIP 110028	858 ls	Series 4	Elite History	"Thanks to a community effort in October 3303 a space bar installation was completed on the orbit of this Earth-like world, at the time a fairly unexplored planet.  The bar is called ""11 Parsecs"" and attracts many tourists from the Core Worlds, as it offers a wide selection of rare alcoholic beverages, otherwise available only in their respective systems of origin.  The tourist clientele is rich and sophisticated.  Sometimes a few rugged spacers can be seen amongst them - these are the Commanders that helped build the bar.  They often return to this place to have a drink or two and chat about the good old times, before the Thargoids came"
0711	The Devil's Dancefloor	Eeshorks BA-A G2179		Series 4	Elite History	"The system was first discovered during a joint expedition by three well known scientists in the field of gravitational physics: Grace Gutierrez, Rondall Hudon, and Lennox McFadden, back in July of 3303. / EESHORKS BA-A G2179 has researchers buzzing now that its discoverers have gone public with details of the system. It contains a black hole and four neutron stars, and is considered extra special by researchers studying gravitational waves as four of the five bodies that make up the system are organised into two sets of binaries orbiting each other very closely. They orbit so closely that the AB pair orbit each other in approximately two hours (The Swing Couple), and the CD pair in five hours (The Waltz Couple), with both pairs orbiting each other in an area less than 250Ls across. / The A star of the system is a black hole measuring 10.6 solar masses. Bodies B, C and D are each microsecond pulsars with spins aligned by orbits so tight a ship may find itself in the ejecta cones of both pulsars at the same time! The fifth and last body of the system is another neutron star at a range of 342,000Ls which the members of the discovering expedition refer to as ""The Wallflower""."
0712	Memorial to Zy, Zylo, Zylophone	Beagle Point	211 ls	Series 4	Elite History	"Zy the Beagle was the epitome of the phrase ""Man's Best Friend"". Endlessly loyal and loving. Zy made sure his Commander was cuddled relentlessly after returning from a long journey; whether it was to another system, nebula, black hole... or just the local shop. / He spent his days dashing around, making friends with anyone who came near him and accompanying CMDR Chrispy Toast as his official ""Exploring Buddy"", on his adventures through space, often wrapped in a blanket. /To all Commanders who find this beacon, raise your hand and salute o7 to Zy. May he run wild and free."
0713	Isaiah's Hope	GCRV 4981	344 ls	Series 4	Elite History	He loved to mine and to explore, sadly now that is a closed door. / We will see him well up in the stars, him leaving has caused some scars. / We hope and we pray that one day there’s a way, to see him again no sadness, no grey. / As thoughts of him help us to cope, welcome CMDR to Isaiah’s hope.
0714	Transmission from Elysium	ES Cancri	1,904 ls	Series 4	Elite History	"""BEGIN TRANSMISSION / Log Entry from Elysium Starfire / ""We made is and it is as beautiful here as one might imagine. It is so serene, so peaceful. Yet not everyone made it. / Some time ago, I met a woman named Margaret. She and her husband traveled the stars. They weren't necessarily prolific explorers, rather they would travel to war torn systems where she, as a nurse, would treat the wounded and comfort the dying. On one of their expeditions, her husband died and she was left alone with the ship they once roamed the stars in. It was after this time that I met her. She would leave the station pad so slow, I would often tease her by declaring she was the notorious loiterer Margaret Mason, flaunting the law at every station but never caught. / As I said, she wasn't a famous explorer but for some reason when this chance to go to Elysium came up, she wanted to join. She isn't on any of the official rosters as she came along without signing up. There were more than a few of those. / Being a bit of an engineer, I helped prepare her ship for the journey. I have some influence with Farseer at Deciat, so getting her FSD adjusted for the jump at point decision was fairly easy. We replaced some of the ship construction with lighter materials and removed what wasn't necessary. Her ship, Stellar Pearl, was ready. / The day of the jump came and we all left Maia heading to Hades. I like the old songs, so I had a song called 'I see fire' on the PA while landing. It seemed apropos. It occurs to me that using a place called Hades as a rally point to reach a place called Elysium is ironic. Once everyone arrived, we left the star kissed surface to begin the climb to point decision. There things did not go as smoothly. / It was discovered that some specialized software we had all installed for fuel calculations had a bug, but not until the group had started the jump across un-scoopable stars. In addition, fuel use is not linear for some ship configurations, such as my own. Luckily I discovered this fact and was able to compensate. / During the jumps from point decision to Elysium the common radio channel was filled with chatter, some panicked, some calm. Finally, we made it across the gap. / Most of us did anyway. A headcount had showed a few missing. Among the missing was the Stellar Pearl. The last I saw of her ship was at the second star coming across the gap, where most of the confusion had started. Her ship disappeared from the scope leaving a jump wake but apparently never arrived at the other side. / Over the expedition period, I scanned and cataloged my assigned systems always keeping an eye out for my friend or any of the others who didn't come across. They never appeared. / At the time of this recording, there is no known way to get back from this cluster. I send this out in hopes someone on the other side receives it and knows of our fate and remembers those lost."" / END TRANSMISSION"""
0715	Interplanetary Road Trip	Sol	497 ls	Series 4	Elite History	In the early third millennium, a high-profile business magnate made headlines by launching a car into space. Although the launch was seen as a whimsical gesture, the vehicle itself soon acquired the status of a valuable cultural artefact. / Several hundred years later, a consortium of cultrual institutions lobbied to reclaim the car and place it in a museum. After an extensive period of bureaucratic wrangling, a mission was launched to recover the vehicle. / Unfortunately, when the mission reached its destination the car was nowhere to be seen. Its precise fate has never been determined, but the prevailing theory is that it was stolen by pirates.
ER01.	Omega Mining Operation	Omega Sector VE-Q B5-15		Series 4	Elite History	Distant Worlds II was an ambitious five-month expedition to the far outer rim. It launched from the Pallaeni system in January 3305 and reached its final destination of Beagle Point in May 3305. The purpose of the expedition was to unravel the mysteries of the galaxy, and to construct a starport at Sagittarius A*.  / The beacon marks the location where the bulk of materials for the Explorer’s Anchorage starport were mined.
ER02.	Quantum World	Flyiedgiae WN-T D3-17		Series 4	Elite History	Distant Worlds II was an ambitious five-month expedition to the far outer rim. It launched from the Pallaeni system in January 3305 and reached its final destination of Beagle Point in May 3305. The purpose of the expedition was to unravel the mysteries of the galaxy, and to construct a starport at Sagittarius A*.  / This planet was a last-minute addition to the Distant Worlds route, and with a radius of just 137 km is one of the smallest recorded planets in the galaxy.
ER03.	Clockwork Rings	Byaa Ain QA-J c11-144		Series 4	Elite History	This beacon marks the location of a respite point for the Distant Worlds II expedition, a five-month journey to the far outer rim conducted in 3305. This system is notable for containing twin ringed planets that orbit each other at a distance of less than one light second. The planets' rings are perpendicular to each other, resulting in compelling views.
ER04.	The Dryau Awesomes	Dryau Ausms KG-Y e3390		Series 4	Elite History	This beacon marks the sixth waypoint of the Distant Worlds II expedition, a five-month journey to the far outer rim conducted in 3305. This system, Dryau Ausms KG-Y e3390, was nicknamed 'The Dryau Awesomes' by explorers due to its distinctive topology.
ER05.	Newton's Necropolis	Phroi Bluae IR-W f1-1530		Series 4	Elite History	Distant Worlds II was an ambitious five-month expedition to the far outer rim. It launched from the Pallaeni system in January 3305 and reached its final destination of Beagle Point in May 3305. The purpose of the expedition was to unravel the mysteries of the galaxy, and to construct a starport at Sagittarius A*. This planet was discovered during the Distant Worlds mapping event, and is notable for its unusually high surface gravity.
ER06.	Dances With Giants	Hypoe Bluae VP-O e6-8688		Series 4	Elite History	This beacon marks the location of a respite for the Distant Worlds II expedition, a five-month journey to the far outer rim conducted in 3305. This system is notable for containing a pair of gas giants in a binary orbit.
ER07.	Goliath's Rest	Swoals IL-Y E0	7,434 ls	Series 4	Elite History	This beacon marks the eighth waypoint of the Distant Worlds II expedition, a five-month journey to the far outer rim conducted in 3305. This waypoint was particularly popular with explorers due to the view afforded of the galactic core.
ER08.	Explorer's Anchorage	Stuemeae FG-Y d7561	4,256 ls	Series 4	Elite History	Distant Worlds II was an ambitious five-month expedition to the far outer rim. It launched from the Pallaeni system in January of 3305 and reached its final destination of Beagle Point in May 3305. The purpose of the expedition was to unravel the mysteries of the galaxy, and to construct a starport at Sagittarius A*. During their journey, the Distant Worlds fleet constructed the Explorer's Anchorage starport to serve as a scientific research installation and a safe haven for explorers.
ER09.	Beagle Point	Beagle Point	7 ls	Series 4	Elite History	Distant Worlds II was an ambitious five-month expedition to the far outer rim. It launched from the Pallaeni system in January of 3305 and reached its final destination of Beagle Point in May 3305. The purpose of the expedition was to unravel the mysteries of the galaxy, and to construct a starport at Sagittarius A*. This beacon marks the final Distant Worlds rendezvous point, which was visited by 3,747 Commanders during the expedition.
ER10.	Choose Your Own Adventure	Plaa Scraa EA-A E114	2 ls	Series 4	Elite History	Distant Worlds II was an ambitious five-month expedition to the far outer rim. It launched from the Pallaeni system in January of 3305 and reached its final destination of Beagle Point in May 3305. The purpose of the expedition was to unravel the mysteries of the galaxy, and to construct a starport at Sagittarius A*. This beacon marks one of the locations discovered by the Distant Worlds fleet during its epic journey.
ER11.	Distant Worlds II Inaugural Jump	Pallaeni		Series 4	Elite History	Distant Worlds II was an ambitious five-month expedition to the far outer rim. It launched from the Pallaeni system in January of 3305 and reached its final destination of Beagle Point in May 3305. The purpose of the expedition was to unravel the mysteries of the galaxy, and to construct a starport at Sagittarius A*. This beacon marks the point where participating pilots made their first hyperspace jump after leaving Pallaeni.
ER12.	Luna's Shadow	Smootoae QY-S d3-202	797 ls	Series 4	Elite History	This beacon marks the 11th waypoint of the Distant Worlds II expedition, a five-month journey to the far outer rim conducted in 3305. Situated on the galactic prime meridian, this system is notable for containing a water world orbited by a satellite similar in size and appearance to Earth's Moon.
EX01.	Experimental Habitat 001	Eol Prou PC-K c9-221	1,841 ls	Series 5	Elite History	A Holloway Bioscience Institute experimental habitat for scientific observation of vacuum lifeforms. Any organisms present are excluded from the Galactic Codex due to their artificial presence and potentially temporary nature.
EX02.	Experimental Habitat 002	Eol Prou LW-L c8-99	1,335 ls	Series 5	Elite History	A Holloway Bioscience Institute experimental habitat for scientific observation of vacuum lifeforms. Any organisms present are excluded from the Galactic Codex due to their artificial presence and potentially temporary nature.
EX03.	Experimental Habitat 003	Eol Prou KW-L c8-301	754 ls	Series 5	Elite History	A Holloway Bioscience Institute experimental habitat for scientific observation of vacuum lifeforms. Any organisms present are excluded from the Galactic Codex due to their artificial presence and potentially temporary nature.
EX04.	Experimental Habitat 004	Eol Prou PC-K c9-154	625 ls	Series 5	Elite History	A Holloway Bioscience Institute experimental habitat for scientific observation of vacuum lifeforms. Any organisms present are excluded from the Galactic Codex due to their artificial presence and potentially temporary nature.
